id	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	ARO Category	ARO Accession	ARO Name
AY277255|ARO:3001089	AAP33454.2	AY277255	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001089	NA
X03364|ARO:3002648	CAA27061.1	X03364	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002648	NA
U46859|ARO:3003048	AAC60780.1	U46859	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	NA	ARO:3003048	NA
JX121116|ARO:3001188	AFQ23955.1	JX121116	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001188	NA
JX259317|ARO:3002769	AFR46587.1	JX259317	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002769	NA
AF173226|ARO:3003053	AAD51347.1	AF173226	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux	NA	ARO:3003053	NA
EF417572|ARO:3002167	ABN69112.2	EF417572	MIR beta-lactamase	monobactam;cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002167	NA
M98270|ARO:3002624	AAA25717.1	M98270	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002624	NA
JN166689|ARO:3002755	AEL31271.1	JN166689	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002755	NA
KM087839|ARO:3002126	AIT76092.1	KM087839	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002126	NA
JF273470|ARO:3001766	ADZ54048.1	JF273470	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001766	NA
EU077611|ARO:3002792	ABU52984.1	EU077611	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002792	NA
AF031331|ARO:3002567	AAD03495.1	AF031331	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002567	NA
EF581888|ARO:3001928	ABS90365.1	EF581888	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001928	NA
AY524989|ARO:3002280	AAS13761.1	AY524989	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002280	NA
M64090|ARO:3000595	AAA98096.1	M64090	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration	NA	ARO:3000595	NA
JF795487|ARO:3001487	AEE61368.1	JF795487	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001487	NA
HM173356|ARO:3002345	ADJ94120.1	HM173356	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002345	NA
X95401|ARO:3000914	CAA64682.1	X95401	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000914	NA
AF516719|ARO:3000967	AAM61952.1	AF516719	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000967	NA
AM774474|ARO:3002726	CAO82104.1	AM774474	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002726	NA
EF650036|ARO:3001641	ABV31690.1	EF650036	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001641	NA
GQ288397|ARO:3000846	ACT66697.1	GQ288397	SIM beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3000846	NA
EU555534|ARO:3002316	ACB71165.1	EU555534	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002316	NA
AB563173|ARO:3002270	BAJ14288.1	AB563173	IND beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3002270	NA
AY036620|ARO:3001092	AAK64187.1	AY036620	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001092	NA
JF274242|ARO:3001970	AEM44648.1	JF274242	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001970	NA
EU019536|ARO:3001635	ABV71248.1	EU019536	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001635	NA
AM051156|ARO:3002440	CAJ19615.1	AM051156	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002440	NA
AY956335|ARO:3001004	AAX56615.1	AY956335	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001004	NA
FN652295|ARO:3001042	CBJ06718.1	FN652295	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001042	NA
JF274248|ARO:3001969	AEM44654.1	JF274248	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001969	NA
HQ425495|ARO:3001482	AEB98923.1	HQ425495	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001482	NA
AF321608|ARO:3003561	AAK63223.1	AF321608	Sed beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3003561	NA
AB211124|ARO:3002895	BAD95494.1	AB211124	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation	NA	ARO:3002895	NA
X53401|ARO:3002891	CAA37477.1	X53401	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	NA	ARO:3002891	NA
BX664015|ARO:3000168	CAE51745.1	BX664015	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	NA	ARO:3000168	NA
NC002516|ARO:3000149	NP_249820.1	NC002516	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation	NA	ARO:3000149	NA
X53797|ARO:3002684	CAA37806.1	X53797	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	NA	ARO:3002684	NA
AJ635420|ARO:3002445	CAG25831.1	AJ635420	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002445	NA
EU202673|ARO:3001941	ABW86620.2	EU202673	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001941	NA
AY587982|ARO:3000300	AAT46077.1	AY587982	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic;streptogramin antibiotic;pleuromutilin antibiotic	antibiotic efflux	NA	ARO:3000300	NA
M94066|ARO:3002549	AAA26549.1	M94066	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002549	NA
AB061440|ARO:3002870	BAB59035.1	AB061440	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic target alteration;antibiotic inactivation	NA	ARO:3002870	NA
FJ666063|ARO:3002386	ACV69996.1	FJ666063	BEL beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002386	NA
FJ214368|ARO:3002495	ACI29347.1	FJ214368	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3002495	NA
AY504627|ARO:3002261	AAS78754.1	AY504627	IND beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3002261	NA
Y17715|ARO:3002394	CAB42615.1	Y17715	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002394	NA
FJ872411|ARO:3002971	AAL27443.1	FJ872411	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002971	NA
KF526117|ARO:3001841	AHA80105.1	KF526117	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001841	NA
AB074433|ARO:3002201	BAB72069.1	AB074433	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002201	NA
AJ871871|ARO:3002412	CAI43419.1	AJ871871	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002412	NA
EF650037|ARO:3001642	ABV31691.1	EF650037	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001642	NA
AF370885.1|ARO:3000774	AAL14440.1	AF370885.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux	NA	ARO:3000774	NA
JN861782|ARO:3001713	AEV91553.1	JN861782	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001713	NA
U00096|ARO:3000794	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	NA	ARO:3000794	NA
Y10278|ARO:3001866	CAA71321.1	Y10278	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001866	NA
U00096|ARO:3000833	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	NA	ARO:3000833	NA
JX121114|ARO:3001186	AFQ23953.1	JX121114	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001186	NA
KC243783|ARO:3000617	AGC51118.1	KC243783	methicillin resistant PBP2	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target replacement	NA	ARO:3000617	NA
DQ174305|ARO:3001120	ABA06587.1	DQ174305	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001120	NA
EU408347|ARO:3002485	ACH58985.1	EU408347	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002485	NA
AY750908|ARO:3001614	AAW81337.1	AY750908	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001614	NA
HM488991|ARO:3001470	ADK35874.1	HM488991	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001470	NA
AF047556|ARO:3002560	AAC25500.1	AF047556	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002560	NA
FJ349556|ARO:3002939	ACL82959.1	FJ349556	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002939	NA
AY114142|ARO:3002625	AAM76670.1	AY114142	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002625	NA
NC_000913.3|ARO:3000516	NP_416715.1	NC_000913.3	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	NA	ARO:3000516	NA
DQ223685|ARO:3001914	ABB17185.1	DQ223685	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001914	NA
CP004067|ARO:3002647	AGV10830.1	CP004067	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002647	NA
AY082011|ARO:3002944	AAM09853.1	AY082011	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002944	NA
GQ390808|ARO:3001173	ACV32636.1	GQ390808	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001173	NA
EU043312|ARO:3002722	ABW03157.2	EU043312	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002722	NA
M19530|ARO:3002878	AAA22562.1	M19530	Bc beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002878	NA
NC_007779|ARO:3000828	YP_489794.1	NC_007779	resistance-nodulation-cell division (RND) antibiotic efflux pump;General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan;penem	antibiotic efflux;reduced permeability to antibiotic	NA	ARO:3000828	NA
AY453161|ARO:3000090	AAR20595.1	AY453161	class A Bacillus anthracis Bla beta-lactamase	penam	antibiotic inactivation	NA	ARO:3000090	NA
NC_003112|ARO:3000810	NP_274718.1	NC_003112	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam	antibiotic efflux	NA	ARO:3000810	NA
AY289608|ARO:3001810	AAP43641.1	AY289608	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001810	NA
HM488987|ARO:3001466	ADK35870.1	HM488987	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001466	NA
NC_002516|ARO:3000807	NP_249397.1	NC_002516	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	NA	ARO:3000807	NA
EF373970|ARO:3001146	ABN49111.1	EF373970	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001146	NA
KM588353|ARO:3003148	AJA32743.1	KM588353	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3003148	NA
AF219130|ARO:3002258	AAG29760.1	AF219130	IND beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3002258	NA
AJ318093|ARO:3000960	CAC85660.1	AJ318093	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000960	NA
EU436855|ARO:3002799	ACC54440.2	EU436855	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002799	NA
JN118546|ARO:3001500	AER57903.1	JN118546	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001500	NA
AY494717|ARO:3002334	AAR97270.1	AY494717	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002334	NA
DQ369751|ARO:3001016	ABC96711.1	DQ369751	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001016	NA
FM957884|ARO:3003018	CAX16467.1	FM957884	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	NA	ARO:3003018	NA
JX313020|ARO:3001991	AFQ94051.1	JX313020	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001991	NA
HM855205|ARO:3002294	ADL27533.1	HM855205	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002294	NA
KJ657570|ARO:3001495	AID67109.1	KJ657570	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001495	NA
JN248564|ARO:3001669	AEL88491.1	JN248564	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001669	NA
KF148593|ARO:3002222	AGS82587.1	KF148593	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002222	NA
AF313471|ARO:3002240	AAK96394.1	AF313471	CARB beta-lactamase	penam	antibiotic inactivation	NA	ARO:3002240	NA
KF526114|ARO:3002113	AHA80102.1	KF526114	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002113	NA
AY289608|ARO:3002588	AAP43641.1	AY289608	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002588	NA
AF024666|ARO:3002703	AAG03357.1	AF024666	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration	NA	ARO:3002703	NA
DQ195536.2|ARO:3000865	ABA42119.2	DQ195536.2	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation	NA	ARO:3000865	NA
AB204810|ARO:3000753	BAD89844.2	AB204810	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic;acridine dye;triclosan	antibiotic efflux	NA	ARO:3000753	NA
KC580658|ARO:3002781	AGL43630.1	KC580658	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002781	NA
U59183|ARO:3002581	AAC46344.1	U59183	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002581	NA
AY157676|ARO:3001888	AAN75444.1	AY157676	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001888	NA
AF078527|ARO:3000230	AAC64366.1	AF078527	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	NA	ARO:3000230	NA
AB300358|ARO:3002037	BAF56185.1	AB300358	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002037	NA
EF540343|ARO:3000160	ABU39978.1	EF540343	blaZ beta-lactamase	penam	antibiotic inactivation	NA	ARO:3000160	NA
AF357599|ARO:3002022	AAK31370.1	AF357599	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002022	NA
GQ152601|ARO:3002185	ACS44784.1	GQ152601	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3002185	NA
AM411407|ARO:3001921	CAL80726.1	AM411407	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001921	NA
X54723|ARO:3002535	CAA38525.1	X54723	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002535	NA
KF057030|ARO:3001684	AGU69251.1	KF057030	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001684	NA
JN935135|ARO:3001053	AFC75523.1	JN935135	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001053	NA
M63556|ARO:3000578	AAA22904.1	M63556	CcrA beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3000578	NA
JX486113|ARO:3002668	AGE00988.1	JX486113	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	NA	ARO:3002668	NA
KF958750|ARO:3001861	AHE78014.1	KF958750	IMI beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3001861	NA
KJ135345|ARO:3001568	AHL30286.1	KJ135345	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001568	NA
NC_003197.2|ARO:3000790	NP_463130.1	NC_003197.2	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump;General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan;penem	antibiotic target alteration;antibiotic efflux;reduced permeability to antibiotic	NA	ARO:3000790	NA
JX560992|ARO:3002630	AFU35065.1	JX560992	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic;pleuromutilin antibiotic	antibiotic efflux	NA	ARO:3002630	NA
DQ888718|ARO:3001649	ABI53716.1	DQ888718	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001649	NA
L36601|ARO:3003036	AAA50325.1	L36601	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	NA	ARO:3003036	NA
KM379100|ARO:3003180	AIX87991.1	KM379100	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3003180	NA
NC_009641|ARO:3000838	YP_001332362.1	NC_009641	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;acridine dye	antibiotic efflux	NA	ARO:3000838	NA
GU127598|ARO:3001952	ACY74743.1	GU127598	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001952	NA
AM261837|ARO:3002619	CAK12750.1	AM261837	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002619	NA
AJ250876|ARO:3000851	CAC33832.1	AJ250876	THIN-B beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3000851	NA
KC567681|ARO:3001694	AGK07370.1	KC567681	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001694	NA
Z22590|ARO:3001406	CAA80304.1	Z22590	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001406	NA
AE015929|ARO:3002865	AAO04716.1	AE015929	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	NA	ARO:3002865	NA
EF650034|ARO:3001639	ABV31688.1	EF650034	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001639	NA
KF057032|ARO:3001686	AGU69253.1	KF057032	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001686	NA
GQ149243|ARO:3001935	ACS32293.1	GQ149243	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001935	NA
NC_003098|ARO:3000614	NP_358565.1	NC_003098	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	NA	ARO:3000614	NA
KJ135342|ARO:3001576	AHL30283.1	KJ135342	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001576	NA
KJ135343|ARO:3001574	AHL30284.1	KJ135343	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001574	NA
AB010417|ARO:3002194	BAA77393.1	AB010417	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002194	NA
GU437214.1|ARO:3000858	ADC55560.1	GU437214.1	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	NA	ARO:3000858	NA
KF057027|ARO:3001443	AGU69248.1	KF057027	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001443	NA
JF460796|ARO:3002075	AEM97674.1	JF460796	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002075	NA
AY327540|ARO:3000986	AAQ93491.1	AY327540	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000986	NA
AJ011293|ARO:3002017	CAB36902.1	AJ011293	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002017	NA
AF043381|ARO:3001414	AAD02245.1	AF043381	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001414	NA
AY423074|ARO:3001792	AAR32134.1	AY423074	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001792	NA
AB733453|ARO:3001204	BAM28879.1	AB733453	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001204	NA
HM113558|ARO:3001656	ADI58616.1	HM113558	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001656	NA
EU302865|ARO:3002730	ABX72227.1	EU302865	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002730	NA
U72743|ARO:3002526	AAB41701.1	U72743	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002526	NA
DQ445683|ARO:3001625	ABE03012.1	DQ445683	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001625	NA
EU547446|ARO:3001652	ACD84989.1	EU547446	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001652	NA
HQ322612|ARO:3002135	ADT91161.1	HQ322612	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002135	NA
LC037981|ARO:3003610	BAR45714.1	LC037981	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3003610	NA
AF137361|ARO:3002605	AAF17880.1	AF137361	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002605	NA
AJ277414|ARO:3000952	CAC43229.1	AJ277414	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000952	NA
AF180958|ARO:3001817	AAF86697.1	AF180958	ACC beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001817	NA
AM849805|ARO:3000886	CAO98721.1	AM849805	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000886	NA
Y17714|ARO:3002399	CAB42614.1	Y17714	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002399	NA
HQ203032|ARO:3000245	ADV91011.1	HQ203032	RbpA bacterial RNA polymerase-binding protein	rifamycin antibiotic	antibiotic target protection	NA	ARO:3000245	NA
AF318077|ARO:3002198	AAK12087.1	AF318077	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002198	NA
NC_007779|ARO:3000491	YP_489794.1	NC_007779	resistance-nodulation-cell division (RND) antibiotic efflux pump;General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic;monobactam;carbapenem;cephalosporin;glycylcycline;cephamycin;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan;penem	antibiotic efflux;reduced permeability to antibiotic	NA	ARO:3000491	NA
U60294|ARO:3003099	AAB03413.1	U60294	CphA beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3003099	NA
AB302939|ARO:3001115	BAF92780.1	AB302939	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001115	NA
GQ390807|ARO:3001172	ACV32635.1	GQ390807	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001172	NA
GU208678|ARO:3002344	ACZ98826.1	GU208678	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002344	NA
AY743434|ARO:3002029	AAU95778.1	AY743434	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002029	NA
AF319779.2|ARO:3000604	AAK07612.2	AF319779.2	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration	NA	ARO:3000604	NA
AF294653|ARO:3002696	AAK52604.1	AF294653	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002696	NA
FR717535|ARO:3000910	CBX53726.1	FR717535	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000910	NA
U00096|ARO:3000502	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	NA	ARO:3000502	NA
AF117743|ARO:3001077	AAF34333.1	AF117743	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001077	NA
AM176555|ARO:3001134	CAJ47135.2	AM176555	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001134	NA
HG423149|ARO:3001962	CDG50843.1	HG423149	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001962	NA
AP009048|ARO:3003548	BAE78082.1	AP009048	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic;acridine dye	antibiotic efflux	NA	ARO:3003548	NA
AF409092|ARO:3002246	AAM74565.1	AF409092	CARB beta-lactamase	penam	antibiotic inactivation	NA	ARO:3002246	NA
HM245380|ARO:3002268	ADK25051.1	HM245380	IND beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3002268	NA
U00096|ARO:3000499	AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	NA	ARO:3000499	NA
FJ666069|ARO:3002505	ACQ82811.1	FJ666069	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation	NA	ARO:3002505	NA
AM051149|ARO:3002427	CAJ19608.1	AM051149	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002427	NA
